Session Title,Player Name,Minutes Played,Split Name,Tags,Distance (miles),Sprint Distance (yards),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
Kalamazoo,L,,all,game,5.7269,145.8613,28,975.871,5,0,0,428.5871,15.4002,81.0242,5.6981,32.9631,17,5.2476,0.28,0.1164,0.0571,0.0258,7301.8,102.9,37.2,16.1,6.4,139,4,1,0,0,0,19,7,2,0,2.3786,0.4364,0.1216,0.0307,0.0076,2854.1,330.1,80.6,17.3,4.4,2.2266,0.4188,0.0881,0.017,0.0016,3722.8,359.1,76.8,17,2.2,1.1428,1.814,1.5015,0.7136,0.2719,0.1329,0.0627,0.0366,0.0277,0.0134,0.0098,4243.7,1762.7,875.5,340.8,120.7,56.6,26.5,15.1,11.4,6.4,5,7464.4,0,0,0,0,0,267,156,55,8,0,240,145,58,20
Kalamazoo,Wood,,2nd.half,game,0.5489,38.0893,4,110.9788,0,0,0,46.3301,12.7059,19.4188,1.4014,8.0868,0,0.0542,0.2624,0.2107,0.0216,0,2661.6,224.5,92.5,6.5,0,27,0,0,0,0,0,3,1,0,0,0.2168,0.0462,0.0119,0.005,0.0004,349.9,34.3,7,2.5,0.3,0.2083,0.0518,0.0072,0.0013,0,2544,39.6,6.3,1.2,0,0.0829,0.1229,0.1549,0.1065,0.0464,0.0192,0.0084,0.005,0.0012,0.0006,0.001,2700,113.5,87.6,49.4,19.7,8.2,3.3,2.1,0.5,0.2,0.6,2985,0,0,0,0,0,32,17,4,1,0,33,10,3,3
Kalamazoo,Reap,,2nd.half,game,2.75,3.0249,11,575.0532,0,0,0,202.2115,11.9652,95.2451,6.5759,35.4596,0,2.4841,0.2095,0.0547,0.0017,0,2953.7,77.2,17.7,0.5,0,73,0,0,0,0,0,6,4,1,0,1.1556,0.1916,0.0489,0.0112,0.0037,1294.5,138.7,32.2,7,1.9,1.1067,0.1992,0.0303,0.0028,0,1383.1,161.7,26.6,3.4,0,0.6084,0.746,0.6984,0.4524,0.1586,0.0573,0.0154,0.0091,0.0035,0.0007,0.0002,1589.6,742,399.3,206.2,71.3,26.6,7.6,4.5,1.6,0.3,0.1,3049,0,0,0,0,0,119,82,12,1,0,103,59,26,8
Kalamazoo,Rahman,,2nd.half,game,0.1453,0,0,22.792,0,0,0,45.6926,9.9619,5.033,0.3066,0.3345,0,0.1078,0.0265,0.011,0,0,3011.9,32.5,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0.0714,0.0047,0.0014,0,0,1202.1,6.9,1.1,0,0,0.0628,0.0051,0,0,0,1830,8.9,0,0,0,0.1235,0.0064,0.005,0.0072,0.0017,0.0004,0.0007,0.0003,0,0,0,3034.8,6.6,2.8,3.3,0.9,0.2,0.3,0.1,0,0,0,3049.1,0,0,0,0,0,3,0,0,0,0,1,2,0,0
Kalamazoo,Lucas,,2nd.half,game,1.838,271.8594,17,275.134,0,0,0,140.4989,15.8575,63.6577,4.6611,23.9907,0,0.2018,0.9063,0.5753,0.1478,0.0066,1906.1,853,246.3,42.2,1.5,31,0,0,0,0,0,6,7,3,1,0.7061,0.1602,0.0524,0.0151,0.0078,1154.3,113.5,31.7,7.6,3.7,0.6838,0.1632,0.0411,0.0074,0.0009,1570.9,127,32.9,6.4,1.1,0.3427,0.4744,0.3763,0.2955,0.1573,0.0825,0.0452,0.0323,0.0125,0.0078,0.0115,2094.1,467,218.8,134.6,61.5,31.5,16.5,11.6,5,3.3,5.2,3049,0,0,0,0,0,66,63,16,7,0,71,53,18,13
Kalamazoo,Heyes,,2nd.half,game,1.0882,110.5421,11,159.1347,0,0,0,81.4768,15.3754,37.6882,2.6959,12.8071,0,0.893,0.0875,0.0448,0.043,0.0198,2985.5,32.3,14.3,12.1,4.9,32,0,0,0,0,0,5,5,1,0,0.4264,0.0954,0.0261,0.0047,0.0021,563.8,62.6,14.1,2.4,1.1,0.4216,0.0886,0.0199,0.0026,0.0008,2324.3,63.2,14.6,2.2,0.8,0.2689,0.2379,0.2261,0.155,0.0844,0.0531,0.0325,0.0155,0.0084,0.0042,0.0024,2544.1,231.7,128.2,69.7,32.6,18.1,12.1,6,3.6,1.7,1.3,3049,0,0,0,0,0,44,27,4,3,0,42,22,10,3
Kalamazoo,Butler,,2nd.half,game,0.7075,168.0813,9,123.3314,0,0,0,47.4755,17.8261,38.8492,2.795,13.8727,18,0.0785,0.3598,0.1737,0.0853,0.0102,1473.8,349.1,73.8,24.3,2.2,3,0,0,0,0,0,2,5,2,0,0.2692,0.0624,0.0166,0.0064,0.0009,330.2,40.6,10.1,4,0.5,0.2763,0.0621,0.0119,0.0011,0.0006,1482,46,8.3,1.1,0.4,0.1443,0.1861,0.1338,0.0812,0.0756,0.0337,0.0205,0.011,0.0097,0.0059,0.0055,1563.8,187.8,78,37.2,27.5,12.1,6.6,3.5,3,1.9,1.8,1923.2,0,0,0,0,0,31,13,2,2,0,26,9,9,4
Kalamazoo,Wecht,,2nd.half,game,0.6567,55.6866,9,136.398,0,0,0,59.8818,15.9023,23.1175,1.6687,8.6433,0,0.5065,0.082,0.0366,0.018,0.0136,2949.7,30.2,11.7,5.1,3.3,25,0,0,0,0,0,6,2,1,0,0.2721,0.0539,0.0145,0.0046,0.0003,584,35.4,8,2.6,0.2,0.243,0.053,0.0134,0.0018,0.0001,2321.3,37.5,9.4,1.5,0.1,0.1202,0.1567,0.1308,0.1157,0.0605,0.0328,0.0146,0.0106,0.0074,0.0042,0.0032,2672,154.5,73.9,49.1,23.6,11.8,5.5,3.9,2.8,1.7,1.2,2999.9,0,0,0,0,0,23,15,3,3,0,24,13,7,1
Kalamazoo,Noga,,2nd.half,game,0.1003,0,0,17.3498,0,0,0,48.9873,2.7191,3.4733,0.2009,0,0,0.0848,0.0155,0,0,0,3026.7,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526,0.0012,0,0,0,1364,2.7,0,0,0,0.0458,0.0006,0,0,0,1678.3,4.1,0,0,0,0.0982,0.0021,0,0,0,0,0,0,0,0,0,3046.2,2.9,0,0,0,0,0,0,0,0,0,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamazoo,Flynn,,2nd.half,game,1.0554,87.3521,15,176.3826,0,0,0,94.7265,16.4044,37.7559,2.6881,13.5768,0,0.873,0.0684,0.0644,0.0268,0.0229,2893.6,25,20.4,7.5,5.6,18,0,0,0,0,0,10,3,2,0,0.4362,0.08,0.0267,0.0065,0.0024,1238.8,54.7,14.8,3.3,0.9,0.3916,0.0908,0.0182,0.003,0.0001,1558.5,66.7,12.3,2,0.1,0.2467,0.2861,0.2083,0.1184,0.0931,0.0438,0.0234,0.0168,0.0068,0.0059,0.0063,2419.6,284.9,120.2,54,35.9,15.8,8.9,5.9,2.4,2,2.5,2952,0,0,0,0,0,48,26,7,1,0,38,22,7,4
