Session Title,Player Name,Minutes Played,Split Name,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration,Max Acceleration,Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Decel / Min G-7,Decel / Min G-7,Player Name
Ohio Northern,M,90,game,M,5.5627,M,409.3535,M,39,867.9635,1,0,0,410.8386,M,15.8377,103.7485,7.2475,38.3787,0,0,0,0.6142,3.0545,1.6614,0.2291,0.0035,1952.9,2911.5,732.5,64.3,0.8,204,1,0,0,0,0,19,15,4,1,2.2757,0.3904,0.0918,0.0301,0.0112,2444.3,287.4,58.9,16.9,5.6,2.2651,0.4252,0.0659,0.007,0.0003,2462.9,321.7,56.6,7.4,0.3,1.207,1.4724,1.3798,0.8094,0.3341,0.1818,0.0871,0.0461,0.0247,0.0111,0.0091,2763.5,1453.6,794.5,375.4,139.5,68.3,33,17.2,9.6,3.9,3.5,5661.9,0,0,0,0,0,231,135,23,2,0,226,109,43,21,64,64,M
Ohio Northern,F,45,game,F,1.8983,F,0,F,0,348.1382,2,0,0,126.8715,F,9.9321,35.4042,2.3494,10.0369,0,0,0,1.8828,0.0154,0,0,0,5656.2,5.9,0,0,0,18,0,0,0,0,0,0,0,0,0,0.8658,0.1037,0.0176,0.0089,0.0021,1423.8,103.4,14.5,6.1,1.3,0.7878,0.0902,0.0204,0.0013,0.0004,3979.2,110.3,21.7,1.5,0.3,0.7842,0.6568,0.3015,0.1129,0.026,0.0082,0.0045,0.0018,0.0006,0.0006,0.0012,4713.6,676.8,187,59.9,15.3,4.6,2.7,1,0.3,0.3,0.6,5661.9,0,0,0,0,0,93,45,5,1,0,86,25,15,7,22,22,F
Ohio Northern,H,41,game,H,2.8927,H,187.9883,H,17,457.1039,0,0,0,236.0235,H,16.4491,53.9502,3.6917,20.2706,0,0,0,2.6078,0.1197,0.0584,0.0502,0.0566,5571.7,44.1,18.4,14.2,13.5,46,0,0,0,0,0,7,8,2,0,1.2523,0.1699,0.0365,0.0145,0.009,2473.5,128,22.4,7.4,3.9,1.1964,0.1832,0.0281,0.0023,0.0005,2852.9,146.7,24.2,2.4,0.5,0.6673,0.8691,0.7583,0.2901,0.1214,0.0819,0.0454,0.0257,0.0145,0.0124,0.0064,4124.1,843.2,441.6,139.5,49.4,28.9,15.3,8.6,5,4,2.3,5661.9,0,0,0,0,0,109,61,5,3,0,111,33,15,12,27,27,H
Ohio Northern,B ,64,game,B ,3.5368,B ,348.2196,B ,27,619.6149,0,0,0,235.0398,B ,15.7283,65.9632,4.6251,26.4818,0,0,0,0.3255,1.9003,1.113,0.1912,0.0066,3358.4,1763.6,483.5,55,1.5,75,0,0,0,0,0,15,6,5,1,1.4609,0.2563,0.0631,0.0182,0.004,1669.3,177.3,34.4,8.5,2.3,1.4308,0.2487,0.0466,0.0075,0.0008,3536.4,191.5,35,6.6,0.7,0.6087,1.0246,0.8555,0.5229,0.2539,0.1392,0.0602,0.0282,0.0162,0.0124,0.0149,3741.3,995.4,489.2,234.5,100.4,51.3,22.1,10.6,6.4,4.6,6.2,5661.8,0,0,0,0,0,152,73,22,4,0,143,53,21,12,33,33,B 
Ohio Northern,V,90,game,V,6.1552,V,165.6852,V,29,1087.6718,0,0,0,480.1403,V,14.3364,114.7985,7.9977,48.0237,0,0,0,5.5325,0.3925,0.136,0.0699,0.0242,5447.8,145.1,43.4,19.5,6.2,266,0,0,0,0,0,16,9,3,1,2.634,0.4503,0.0869,0.0225,0.0037,2455.7,338.6,55.1,13.2,1.7,2.4544,0.4148,0.0743,0.0127,0.0016,2367.1,349.3,67,12.7,1.6,1.0818,1.8209,1.7746,0.8832,0.3321,0.1437,0.0571,0.0311,0.0149,0.007,0.0088,2249.1,1724.7,1028.1,409.1,141,58.3,24.3,13.5,6.3,3.1,4.5,5661.9,0,0,0,0,0,319,154,44,9,0,324,127,43,8,51,51,V
Ohio Northern,K ,90,game,K ,5.6831,K ,360.292,K ,48,1021.1869,0,0,0,377.1051,K ,17.2146,105.9929,7.3985,39.2236,0,0,0,4.9186,0.3334,0.2264,0.1124,0.0923,5413.5,122.5,72,31.6,22.3,75,0,0,0,0,0,30,11,7,0,2.3907,0.3977,0.0966,0.0245,0.0053,2522.4,259.3,51.7,12.4,2.7,2.2672,0.4106,0.0784,0.0114,0.0007,2465.9,283.1,54.7,9.2,0.5,1.2359,1.7559,1.2025,0.6854,0.3633,0.1889,0.1019,0.0683,0.0368,0.0161,0.0282,2614,1733.9,693.9,314.1,143.4,69.9,37.8,25.6,13.4,5.7,10.2,5662,0,0,0,0,0,209,108,43,3,0,222,102,42,12,54,54,K 
Ohio Northern,E,36,game,E,1.6214,E,93.9881,E,7,320.2518,1,0,0,129.1461,E,14.0083,30.2404,2.132,12.5115,0,0,0,0.1879,0.9242,0.4559,0.0534,0,4626.6,821.1,199.1,15.2,0,81,1,0,0,0,0,3,3,1,0,0.6668,0.1378,0.0291,0.0046,0.0008,834.7,102.7,20.2,3,0.5,0.6304,0.1273,0.023,0.0015,0.0002,4569.2,108.9,20.7,1.9,0.2,0.3001,0.4838,0.4062,0.2469,0.0962,0.0511,0.0222,0.0094,0.0043,0.0002,0.0011,4777.1,452.4,240.7,113.8,41.6,20.5,8.9,4.3,2,0.1,0.6,5662,0,0,0,0,0,95,50,4,1,0,84,45,11,1,12,12,E
Ohio Northern,L ,90,game,L ,6.2381,L ,473.7344,L ,49,1080.4504,6,0,0,458.7651,L ,16.3,116.3454,8.3168,47.9893,0,0,0,5.3932,0.3708,0.2049,0.1666,0.1026,5388.7,136.7,64.9,46.5,25.3,205,6,0,0,0,0,24,19,6,0,2.5676,0.489,0.1364,0.0398,0.0117,2449,338.9,79.3,20.5,5.6,2.3677,0.4976,0.108,0.0186,0.0019,2283.5,380.4,85,17.9,2,1.0463,1.8056,1.6332,0.8452,0.3993,0.2146,0.1242,0.0716,0.0431,0.0286,0.0265,2249.3,1715.5,948.8,396.2,162.5,79.9,46.4,25.8,16.1,11,10.6,5661.9,0,0,0,0,0,278,176,58,10,0,282,142,59,21,80,80,L 
Ohio Northern,U,55,game,U,1.5068,U,149.6988,U,17,248.5488,1,0,0,131.0084,U,16.29,28.103,2.0754,10.7347,0,0,0,1.2118,0.1306,0.0793,0.0485,0.0366,5566.2,48,25.2,13.6,9,48,1,0,0,0,0,10,3,3,1,0.5472,0.1223,0.0492,0.0198,0.0067,1567.9,82.1,24.8,10.1,3.2,0.5806,0.1377,0.0377,0.0041,0.0015,3851.3,92.2,25.1,4,1.3,0.2858,0.3679,0.3096,0.2298,0.1209,0.0774,0.0425,0.0267,0.0179,0.0099,0.0184,4905.1,359.9,174.8,103.5,48.2,28.1,15.4,9.5,6.8,3.9,6.8,5661.8,0,0,0,0,0,56,37,11,6,0,46,30,22,11,33,33,U
Ohio Northern,N,14,game,N,1.2804,N,47.4441,N,8,264.1332,0,0,0,135.29,N,13.7001,23.8809,1.7122,8.8379,0,0,0,1.1538,0.0704,0.0292,0.0235,0.0035,5619.2,26,9.3,6.6,0.9,36,0,0,0,0,0,4,4,0,0,0.5018,0.1306,0.0272,0.0035,0.001,1667.7,95.8,16.9,1.8,0.5,0.4684,0.1198,0.0246,0.0035,0.0001,3758.9,97.7,19.1,3.5,0.1,0.3285,0.3353,0.2895,0.1583,0.0858,0.0375,0.0207,0.0119,0.0067,0.0029,0.0033,5023.1,323.1,168.2,74.5,37.8,15.2,9.3,5.2,2.7,1.3,1.6,5661.8,0,0,0,0,0,67,41,12,1,0,72,46,5,4,9,9,N
