Session Title,Player Name,Minutes Played,Split Name,Tags,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
Centre,S ,90,game,game,S ,5.5656,S ,198.7253,S ,39,1025.3505,1,0,0,375.117,S ,16.7126,102.9648,7.2615,41.6516,0,4.8874,0.3966,0.1687,0.0572,0.0557,5478.6,146.2,53.9,16.1,13.5,168,1,0,0,0,0,28,8,3,0,2.1618,0.4266,0.1359,0.037,0.0092,2352.1,306.6,81.7,20.4,4.9,2.2837,0.411,0.085,0.0137,0.0015,2550.3,313.8,64.8,12.1,1.6,1.098,1.7646,1.2264,0.7717,0.3401,0.1688,0.0898,0.0448,0.0301,0.0162,0.0151,2623.3,1738.8,707,349.8,143.8,67.6,35.8,17.4,11.4,6.5,6.9,5708.1,0,0,0,0,0,249,122,41,8,0,196,138,52,22,74,74,S 
Centre,J,43,game,game,J,2.5294,J,51.696,J,19,486.5385,0,0,0,178.9252,J,14.2668,46.7956,3.2569,19.6468,0,2.279,0.1508,0.0702,0.0239,0.0055,5622.3,55.4,22.4,6.8,1.4,32,0,0,0,0,0,14,2,3,0,1.0782,0.1818,0.0465,0.0107,0.0032,1803.9,144.9,28.7,5.9,1.5,0.9922,0.1711,0.0335,0.0099,0.0024,3547.8,137,26.8,9.5,2.3,0.5288,1.0149,0.4329,0.2814,0.1318,0.0651,0.0329,0.0143,0.0137,0.0067,0.0069,4215,1004,245.4,127.3,55.4,27.8,14.3,6.3,5.7,3.2,3.9,0,0,0,0,0,0,102,46,20,12,0,87,48,22,8,30,30,J
Centre,L ,90,game,game,L ,6.0689,L ,296.3103,L ,34,1033.3013,5,0,0,439.0057,L ,16.4044,112.2765,7.8894,46.337,0,5.4144,0.3086,0.1775,0.1078,0.0605,5492.8,113.9,56.5,30.2,15,116,5,0,0,0,0,17,9,7,1,2.546,0.4728,0.0954,0.0305,0.0063,2487.9,341,58,17.4,3.5,2.3641,0.4526,0.0885,0.0118,0.0008,2342.2,371.2,74.6,11.8,0.8,1.0189,1.7108,1.7454,0.8608,0.369,0.1786,0.0912,0.0464,0.0209,0.0134,0.0135,2379.9,1624.9,1000.1,408.1,154.3,68.3,34.9,18.1,8.7,5.7,5.4,5708.2,0,0,0,0,0,298,164,46,3,0,296,122,55,15,70,70,L 
Centre,C ,50,game,game,C ,3.7965,C ,153.626,C ,31,671.1033,1,0,0,309.8402,C ,14.6048,70.2357,4.9689,29.8891,0,3.1905,0.326,0.1927,0.07,0.0173,5502.7,120,61.3,19.7,4.4,351,1,0,0,0,0,17,9,1,4,1.5087,0.3203,0.0663,0.0147,0.003,1743,214.5,38.3,8.1,1.4,1.5131,0.3186,0.0457,0.0059,0.0002,3438.7,224.6,34.1,5.2,0.2,0.5189,1.0801,0.9509,0.6641,0.3041,0.1418,0.0739,0.0362,0.0143,0.0076,0.0044,3615.7,1020.1,544.4,298.4,120.6,54.7,29.1,13.9,6,3.2,2,5708.2,0,0,0,0,0,199,81,21,4,0,185,76,28,7,35,35,C 
Centre,R,48,game,game,R,3.5671,R,385.7676,R,21,603.6961,1,0,0,235.6564,R,16.8816,65.9926,4.6093,25.1962,0,0.3757,1.894,1.0782,0.2042,0.015,3376.8,1797.3,473.3,57.7,3.3,61,1,0,0,0,0,6,10,3,2,1.4862,0.24,0.0746,0.0216,0.0055,1829.9,171.7,46.5,12.2,3,1.435,0.2469,0.0514,0.0045,0.0014,3407.4,192.9,39.6,3.9,1.3,0.7167,0.9598,0.8753,0.5305,0.2445,0.1164,0.0483,0.0357,0.0186,0.0088,0.0125,3842.2,937.3,501.7,242.3,97.1,42.9,17.4,12.5,6.9,3.1,5,5708.2,0,0,0,0,0,142,85,16,5,0,129,70,36,11,47,47,R
Centre,G ,72,game,game,G ,4.4659,G ,387.3632,G ,43,740.4369,0,0,0,300.9149,G ,16.464,82.621,5.8357,32.0913,0,3.801,0.2583,0.1865,0.1407,0.0794,5495.6,94.8,59.1,39.5,19.4,98,0,0,0,0,0,21,17,2,3,1.8488,0.3243,0.0984,0.0256,0.006,2251,227.1,53.6,13,2.8,1.7327,0.3397,0.0769,0.0117,0.0018,2838.9,256,53.9,10.1,2,0.9219,1.5663,0.7947,0.4704,0.2987,0.1862,0.0904,0.0624,0.035,0.0191,0.0208,3208.7,1552.6,464.5,215,114.6,66.4,34.3,22.9,13.2,7.5,8.7,5708.2,0,0,0,0,0,167,104,31,8,0,158,82,37,10,47,47,G 
Centre,X,0,game,game,X,0.101,X,0,X,0,17.4786,0,0,0,71.1422,X,3.4399,1.8694,0.1081,0.007,0,0.098,0.003,0,0,0,5704.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524,0.0016,0.0001,0,0,1959.1,3.9,0.1,0,0,0.0462,0.0007,0,0,0,3742.6,2.7,0,0,0,0.1,0.0011,0,0,0,0,0,0,0,0,0,5707,1.4,0,0,0,0,0,0,0,0,0,5708.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,X
Centre,U,36,game,game,U,2.8277,U,117.5204,U,28,458.2591,0,0,0,199.1636,U,14.3464,57.9488,4.2046,23.954,0,2.3247,0.2877,0.1486,0.0541,0.0127,4981.4,105.4,47.6,15.2,3.2,57,0,0,0,0,0,18,8,0,2,1.0712,0.2157,0.074,0.0324,0.0102,1468.6,143.7,42.1,16.8,5.3,1.1272,0.2391,0.0426,0.013,0.0024,3260.8,171.5,31.4,10.5,2.1,0.4425,0.7986,0.6073,0.4809,0.2667,0.1158,0.0483,0.0263,0.0212,0.0074,0.0129,3615,776.3,347.7,212.3,106.3,46.3,19.7,10.6,8.7,3.4,6.5,5152.7,0,0,0,0,0,146,50,31,8,0,93,63,39,24,63,63,U
Centre,P,61,game,game,P,3.7186,P,115.9314,P,21,655.5442,0,0,0,233.3173,P,14.7937,76.3094,5.2252,26.7566,0,3.3471,0.2096,0.0961,0.0404,0.0255,5020.6,77.4,30.7,11.3,6.4,48,0,0,0,0,0,15,4,2,0,1.6631,0.1914,0.0564,0.0241,0.0098,1869.5,148.8,32.7,11.6,4.4,1.5083,0.2108,0.0444,0.0086,0.0017,2869.1,165,36,7.8,1.5,0.9875,1.1083,0.8145,0.4302,0.1809,0.0919,0.0494,0.0263,0.0141,0.0083,0.0072,3221.9,1107.5,464.8,197.1,76.6,35.5,19.4,10.4,6.1,3.4,3.7,5146.4,0,0,0,0,0,122,73,25,9,0,119,52,36,15,51,51,P
Centre,H ,29,game,game,H ,1.8599,H ,96.4772,H ,13,296.1609,0,0,0,183.3103,H ,15.2859,34.4094,2.3725,12.0106,0,1.6541,0.0853,0.0657,0.032,0.0228,5641.4,31.4,20.9,8.9,5.7,54,0,0,0,0,0,9,2,2,0,0.8027,0.1091,0.0332,0.0123,0.0045,2494.3,86.5,19,6.8,2.4,0.7484,0.1229,0.0221,0.0041,0.0006,2971.8,104.4,18.9,3.7,0.5,0.4872,0.5192,0.438,0.1932,0.101,0.0574,0.03,0.0158,0.0098,0.0033,0.0051,4765.3,513.3,253.7,90.5,40.5,20.6,11.7,5.7,3.4,1.2,2.4,5708.3,0,0,0,0,0,66,31,13,3,0,63,26,15,10,25,25,H 
