Session Title,Player Name,Minutes Played,Split Name,Duration,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
Kenyon,J,42,game,5536,J,2.9853,J,135,J,22,587.1216,2,0,0,212.8582,J,14.3,56.9445,4.0523,25.7487,0,6,5.6371,2.6206,0.1821,0.1056,0.0605,0.0164,5414.4,67,33.6,17,4.2,39,2,0,0,0,0,12,8,1,1,1.2153,0.2352,0.069,0.022,0.0042,1616.9,174.6,43.6,13,2.4,1.1537,0.2154,0.0548,0.0123,0.0035,3451.7,177,42,11.6,3.4,0.4979,1.246,0.5159,0.34,0.1799,0.0901,0.0468,0.0298,0.0177,0.009,0.0122,3713.6,1203.1,305,155.1,72.8,36.4,19.5,12.2,7.9,4.5,6.1,0,0,0,0,0,0,124,73,32,15,0,103,70,36,12,48,48,J
Kenyon,O,0,game,5536,O,0.1135,O,0,O,0,13.5239,0,0,0,49.3492,O,3.2,2.166,0.1262,0.0108,0,0,0,0.1063,0.0072,0,0,0,5526.3,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621,0.0017,0.0003,0,0,1417.6,3.7,0.5,0,0,0.0484,0.0009,0.0001,0,0,4108.7,5.1,0.4,0.1,0,0.1114,0.0021,0,0,0,0,0,0,0,0,0,5533.4,2.6,0.1,0,0,0,0,0,0,0,0,5536.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,O
Kenyon,P,0,game,5536,P,0.004,P,0,P,0,0.64,0,0,0,0.4699,P,2.7,0.0766,0.0047,0,0,0,0,0.004,0,0,0,0,5536.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0001,0,0,0,10.8,0.6,0,0,0,0.0017,0.0001,0,0,0,5524.1,0.8,0,0,0,0.0038,0.0002,0,0,0,0,0,0,0,0,0,5536,0.3,0,0,0,0,0,0,0,0,0,5536.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,P
Kenyon,A,0,game,5536,A,0.117,A,0,A,0,17.0437,0,0,0,77.6894,A,2.6,2.2313,0.1263,0,0,0,0,0.1166,0.0004,0,0,0,5535.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646,0.0005,0,0,0,2235.2,1.2,0.1,0,0,0.0516,0.0003,0,0,0,3298.3,1.4,0,0,0,0.1167,0.0003,0,0,0,0,0,0,0,0,0,5535.9,0.3,0,0,0,0,0,0,0,0,0,5536.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A
Kenyon,B ,28,game,5536,B ,2.324,B ,221,B ,16,408.3861,1,0,0,179.8968,B ,15.1,44.3307,3.1176,18.7475,0,6,4.3839,0.2427,1.2655,0.6899,0.1227,0.0031,4078,1116.3,306.1,35.1,0.7,46,1,0,0,0,0,10,5,1,0,0.9904,0.168,0.0384,0.009,0.0036,1544.5,131.8,22.2,4.9,1.8,0.9128,0.1625,0.0324,0.0064,0.0005,3657.3,139.6,27.8,5.7,0.6,0.3794,0.6941,0.6289,0.3114,0.154,0.0753,0.0337,0.0206,0.0122,0.0059,0.0086,4258.4,650.2,361.8,144.2,62.4,27.9,13.2,7.6,4.7,2.4,3.4,5536.1,0,0,0,0,0,105,51,16,4,0,105,42,13,7,20,20,B 
Kenyon,Q,90,game,5536,Q,6.2444,Q,61,Q,32,1320.0487,3,0,0,463.7279,Q,13.5,119.1124,8.3136,49.2658,0,5.2482,4.026,5.5853,0.431,0.1932,0.0338,0.0012,5305.8,158.7,61.9,9.6,0.3,190,3,0,0,0,0,18,8,4,2,2.5777,0.4571,0.1109,0.0273,0.0093,2341.7,329.5,73.5,15.5,5.2,2.5131,0.4668,0.0717,0.0099,0.0005,2327.7,369.6,63.1,10.1,0.4,0.9865,1.912,1.7166,0.9719,0.4108,0.1379,0.0588,0.0283,0.012,0.0064,0.0032,1943,1871.7,989,449.9,173.8,60.5,25.4,12.9,5.2,3.1,1.8,0,0,0,0,0,0,323,148,36,3,0,282,155,44,22,66,66,Q
Kenyon,U,48,game,5536,U,3.424,U,306,U,36,562.2172,1,0,0,241.1874,U,16.1,65.3134,4.8013,26.6018,0,6,5.6404,2.822,0.2693,0.1592,0.0959,0.0777,5340.7,98.9,50.6,26.8,19.1,72,1,0,0,0,0,25,6,3,2,1.2988,0.2909,0.0953,0.0418,0.013,1977.1,193.3,53.5,20.4,6.4,1.2799,0.3129,0.0692,0.0189,0.0033,3004.1,215,48.2,15,3.1,0.5769,1.0691,0.6452,0.4795,0.2628,0.1668,0.0895,0.0455,0.0364,0.0212,0.031,3643.3,1054.4,370.1,215.2,106.4,61.2,34.3,16.9,13,8.4,12.9,5536.1,0,0,0,0,0,129,90,37,14,0,110,85,44,24,68,68,U
Kenyon,I,59,game,5536,I,4.1716,I,286,I,34,599.8985,0,0,0,293.3319,I,16.4,79.5733,5.597,30.6329,0,6,3.8445,3.4848,0.3537,0.1706,0.0883,0.0741,5308.7,130.3,54.4,24.8,18,36,0,0,0,0,0,16,13,3,2,1.7402,0.301,0.0713,0.0238,0.0078,1731.2,207.1,41.1,13.4,4.1,1.6315,0.3362,0.0535,0.0061,0.0001,3240.5,249,43.4,6.2,0.2,0.7817,1.118,0.9408,0.6703,0.3183,0.1742,0.0943,0.0437,0.018,0.0087,0.0035,3368.6,1073.6,540.8,298.7,128.1,65.4,33.6,15.5,7.2,3.2,1.5,5536.2,0,0,0,0,0,183,101,29,0,0,179,77,28,15,43,43,I
Kenyon,V,90,game,5536,V,6.0907,V,214,V,30,1087.8963,0,0,0,476.6571,V,14.4,116.1817,8.181,47.8731,0,6,4.64,5.4589,0.3766,0.1339,0.0863,0.0352,5321.3,139.3,42.7,24,9,213,0,0,0,0,0,18,8,3,1,2.5748,0.4676,0.1002,0.0238,0.007,2393.5,346.1,61.7,13.8,3.7,2.3414,0.4739,0.0877,0.0133,0.001,2242.4,386.1,75.2,12.8,1,1.0779,1.7408,1.6786,0.9134,0.354,0.1723,0.0775,0.0376,0.0191,0.0098,0.0098,2203.8,1654.6,964.2,427,152.3,68.9,32.3,16.2,8.4,4.4,4.2,5536.1,0,0,0,0,0,324,189,48,6,0,343,141,48,14,62,62,V
Kenyon,L ,90,game,5536,L ,5.7466,L ,251,L ,39,995.2786,0,0,0,401.0306,L ,17.2,109.617,7.8354,43.8496,0,5.3926,5.0045,5.1296,0.3115,0.1629,0.0737,0.0689,5332,114.9,51.9,20.7,16.7,108,1,0,0,0,0,28,9,2,0,2.373,0.4872,0.1175,0.0346,0.0086,2398.7,355.9,72,18,4.4,2.1215,0.4853,0.0987,0.0182,0.0019,2186.2,398.4,84,16.7,1.9,1.1029,1.8035,1.3574,0.759,0.3469,0.1609,0.0875,0.0565,0.0291,0.0197,0.0232,2325.8,1756.5,792.7,361.1,149.7,65.7,35.1,21.4,11.3,6.9,10,5536.2,0,0,0,0,0,310,188,54,11,0,306,153,53,19,72,72,L 
