Session Title,Player Name,Minutes Played,Split Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
Wooster,K ,90,game,4.9764,K ,277,K ,33,898.0899,0,0,0,339.2546,K ,16.3,93.6744,6.5673,33.489,0,5.8963,4.88,4.4298,0.2542,0.1352,0.0922,0.0651,5431.2,93.6,43.1,25.8,15.9,63,0,0,0,0,0,21,9,4,0,2.1175,0.3504,0.0859,0.0251,0.01,2551.5,246.6,49.9,11.8,5.1,1.9254,0.3725,0.0765,0.0115,0.0016,2387.2,288.4,57.9,9.4,1.8,1.2162,1.4151,1.1335,0.5912,0.2878,0.1396,0.0773,0.0514,0.0319,0.0094,0.023,3028.7,1401.3,654.2,277.4,119.1,54.4,30.2,19.4,12.5,3.6,8.8,5609.4,0,0,0,0,0,211,114,37,7,0,215,96,24,25,49,49,K 
Wooster,J,28,game,2.0964,J,157,J,20,415.9632,0,0,0,179.9155,J,15.5,39.4623,2.8334,16.5734,0,4.9734,5.1334,1.7748,0.1397,0.0925,0.0543,0.0352,5505.2,51,29.4,15.3,8.7,49,0,0,0,0,0,8,10,1,1,0.842,0.1914,0.05,0.0112,0.0026,1859.3,135.7,30.3,6.3,1.1,0.7819,0.1664,0.0416,0.0082,0.0012,3408.5,132.6,28.4,6.3,1.1,0.3873,0.7051,0.4064,0.2594,0.1461,0.0895,0.0382,0.0227,0.0182,0.0089,0.0147,4444.3,683.4,234.4,116.8,56.3,33.7,14.5,9.1,7.5,3.4,6.2,0,0,0,0,0,0,91,48,20,6,0,72,55,17,7,24,24,J
Wooster,F ,90,game,2.7934,F ,1,F ,0,494.4007,3,0,0,180.4238,F ,10.6,52.5812,3.3677,9.7101,0,5.5023,4.4,2.7817,0.01,0.0009,0.0007,0,5605.3,3.8,0.3,0.2,0,24,2,0,0,0,0,0,0,0,0,1.3676,0.0997,0.0215,0.0089,0.0032,2699.2,121.8,17.4,6.5,1.7,1.1814,0.0917,0.0157,0.0034,0.0004,2591.7,147.8,19.1,3.9,0.5,1.6413,0.8377,0.2158,0.0657,0.016,0.0079,0.0028,0.0014,0.0016,0.0012,0.0019,4521,892.1,141,35.8,10.2,4.4,1.6,0.8,0.9,0.7,1.1,5609.4,0,0,0,0,0,95,35,10,1,0,83,28,19,7,26,26,F 
Wooster,G ,17,game,1.2833,G ,220,G ,12,213.8665,0,0,0,128.413,G ,16,24.1564,1.7153,8.1699,0,4.2142,4.8274,0.9896,0.1079,0.061,0.0661,0.0587,5518,39.5,19.3,18.4,14.4,24,0,0,0,0,0,4,6,1,1,0.5461,0.1076,0.0216,0.0053,0.0002,2009.6,71.6,12.2,2.9,0.1,0.4837,0.0895,0.0242,0.0043,0.0008,3427.5,64.8,16.4,3.9,0.6,0.3105,0.3057,0.2191,0.1657,0.106,0.079,0.04,0.0252,0.0166,0.0058,0.0098,5013.8,303.3,123.2,70.8,39.5,25.3,12.9,9,5.5,2.1,4.2,5609.4,0,0,0,0,0,29,22,10,3,0,51,18,9,1,10,10,G 
Wooster,Q,90,game,6.0633,Q,144,Q,30,1273.2855,1,0,0,439.9055,Q,14.7,114.1331,7.9143,47.2208,0,6,4.6134,5.4443,0.3719,0.1653,0.0575,0.0242,5397,137.6,52.7,16.2,6.1,171,1,0,0,0,0,14,12,4,0,2.5218,0.4113,0.1052,0.0334,0.0061,2404.5,292.4,68.1,18.8,3.2,2.4977,0.4111,0.0685,0.0078,0.0003,2424.3,330.1,59.4,8.5,0.3,0.9815,1.7982,1.6636,0.994,0.3647,0.1431,0.0657,0.0303,0.0159,0.0027,0.0036,2173,1772,942,461.1,153.1,57.4,28.5,12.4,7,1.4,1.7,5609.4,0,0,0,0,0,270,134,33,2,0,251,126,59,14,73,73,Q
Wooster,U,50,game,3.3923,U,352,U,39,558.5633,1,0,0,228.3636,U,17.5,63.855,4.7087,25.6008,0,6,5.5037,2.7397,0.262,0.1905,0.1091,0.0909,5400.2,95.9,60.6,30.7,22.2,98,1,0,0,0,0,26,8,2,3,1.2807,0.2701,0.1086,0.0426,0.0117,1753.3,178.1,58.6,21.5,5.3,1.2844,0.2948,0.0762,0.0188,0.0044,3328.7,197.4,48.7,14.2,3.8,0.6026,1.0807,0.5691,0.4452,0.274,0.1677,0.0949,0.0525,0.0344,0.0281,0.043,3743.4,1081.1,325.2,199.7,106.1,60.2,34.3,19.2,12.6,10.4,17.4,5608.1,0,0,0,0,0,120,85,26,17,0,109,70,43,25,68,68,U
Wooster,H,46,game,3.4364,H,157,H,27,555.5577,0,0,0,269.7462,H,15.1,64.6963,4.5285,25.7902,0,6,5.0142,3.0346,0.2065,0.1058,0.055,0.0344,5475.7,75.9,33.9,15.4,8.6,75,0,0,0,0,0,21,5,1,0,1.4871,0.2273,0.0666,0.0169,0.0072,2437.9,175.4,37.3,9,3.3,1.3235,0.2488,0.0515,0.0064,0.001,2695.7,201.1,41.6,7.2,1,0.6293,0.9561,0.9446,0.4763,0.2104,0.1013,0.0435,0.0317,0.0207,0.0087,0.0138,3764.5,916.5,536.8,219.3,87.4,38.9,17,11.9,8.1,3.6,5.5,5609.4,0,0,0,0,0,131,84,19,6,0,125,63,26,13,39,39,H
Wooster,X,0,game,0.1124,X,0,X,0,19.1032,0,0,0,75.8587,X,2.7,2.1165,0.1202,0.0018,0,0,0,0.1113,0.0011,0,0,0,5608.1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602,0.001,0.0001,0,0,2134.7,2.2,0.2,0,0,0.0507,0.0003,0,0,0,3470.1,2.2,0.2,0,0,0.112,0.0005,0,0,0,0,0,0,0,0,0,5608.9,0.7,0,0,0,0,0,0,0,0,0,5609.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,X
Wooster,Z,21,game,1.9901,Z,40,Z,19,329.8869,1,0,0,197.485,Z,12.7,37.4611,2.6891,14.8353,0,4.9956,4.9067,1.6155,0.2421,0.1099,0.0226,0,5479.3,88.7,35.1,6.5,0,59,1,0,0,0,0,7,7,3,2,0.823,0.1616,0.0466,0.0131,0.0025,2135.2,117.1,31.6,7.5,1.6,0.7357,0.1645,0.0357,0.0062,0.001,3140.1,138.4,31.2,5.8,1.1,0.3711,0.4176,0.4909,0.3852,0.1942,0.0692,0.0325,0.0167,0.0049,0.0037,0.0042,4644.4,380.8,282.5,167.2,77.4,29.2,14.3,7.5,2.4,1.7,2.2,5609.4,0,0,0,0,0,97,63,19,4,0,81,56,23,9,32,32,Z
Wooster,R,,1st.half,2.997,R,295.1839,R,20,506.6203,0,0,0,185.2478,R,16.2503,110.4649,7.7076,44.1043,0,4.947,5.3645,0.2978,1.6182,0.9133,0.1602,0.0076,908.2,1509.6,399.6,45.7,1.7,32,0,0,0,0,0,8,6,3,3,1.3156,0.1827,0.0484,0.0159,0.0065,1270.3,130,29.4,8.9,3.2,1.1742,0.205,0.0418,0.0057,0.0013,1222.3,161,33.4,5.2,1.1,0.5593,0.8454,0.7603,0.4535,0.1823,0.0843,0.0463,0.0295,0.0175,0.009,0.0097,1265.7,811.5,437.3,205.6,71.9,31.6,16.5,10.5,6.4,3.5,4.3,2864.7,0,0,0,0,0,128,69,14,5,0,117,54,13,13,,,Butler
