Session Title,Player Name,Minutes Played,Split Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
OWU,S,86,game,5.4805,S,253.7624,S,41,1017.5912,1,0,0,389.4354,S,16.5833,104.3331,7.416,42.3923,0,6,5.8708,4.7747,0.3751,0.1864,0.0998,0.0444,5310.6,138,59.4,28.1,10.9,322,1,0,0,0,0,25,10,4,2,2.0884,0.4511,0.1278,0.0433,0.0111,2282.4,309.3,76,24.5,5.8,2.2358,0.4181,0.086,0.0158,0.0029,2454.7,313.8,64.5,13.5,2.5,1.0449,1.7021,1.2548,0.7206,0.3565,0.1897,0.0976,0.0464,0.0307,0.0149,0.0221,2511,1681.7,718.7,328.2,147,75.1,38.3,18,12.5,6.7,9.8,0,0,0,0,0,0,248,124,45,12,0,223,129,66,24,90,90,S
OWU,H,46,game,3.1773,H,164.7141,H,29,519.1016,2,0,0,256.5829,H,14.7142,60.4872,4.2792,22.5091,0,6,4.8845,2.7229,0.2033,0.1575,0.0719,0.0217,5396.8,74.5,50.1,20.2,5.5,79,2,0,0,0,0,21,5,2,1,1.3181,0.1993,0.0656,0.0283,0.0137,2532.9,148.8,37.5,15,6.6,1.2589,0.2284,0.0552,0.0088,0.0011,2571.5,183.7,42,8,1.1,0.7173,0.9124,0.701,0.384,0.2108,0.1089,0.063,0.0372,0.0198,0.0089,0.0141,3898,882.8,411.3,175.4,81.2,42,24.4,14.7,8,3.5,5.8,0,0,0,0,0,0,124,67,22,6,0,111,49,28,25,53,53,H
OWU,V,90,game,5.8264,V,126.3502,V,33,1037.1944,2,0,0,471.5893,V,14.6347,110.9197,7.7844,46.254,0,5.8978,4.9956,5.2934,0.3253,0.1359,0.0539,0.0179,5364,120.2,43.4,15.1,4.5,235,2,0,0,0,0,20,11,1,1,2.4201,0.4538,0.0916,0.0246,0.0084,2365.2,342.1,58.3,13.8,4.2,2.3124,0.4265,0.0752,0.0126,0.0012,2329.1,353.5,67.8,12,1.2,1.0591,1.7197,1.6517,0.8205,0.3189,0.1296,0.0592,0.0337,0.0169,0.0075,0.0096,2332.2,1620.6,961.7,386.8,137.1,54.1,24.8,14.5,7.5,3.4,4.5,0,0,0,0,0,0,315,163,35,7,0,302,142,37,17,54,54,V
OWU,R,90,game,5.7,R,407.8509,R,42,964.2353,0,0,0,350.3926,R,14.585,108.5123,7.576,41.9202,0,6,5.3445,0.6045,2.9025,1.9612,0.2317,0,1885.3,2748.2,846.3,67.4,0,76,0,0,0,0,0,24,10,5,3,2.3924,0.3787,0.1141,0.0343,0.0098,2397.4,285.3,71.4,20.3,5,2.271,0.4218,0.0663,0.0105,0.0011,2357.2,346,54.5,8.9,1.2,1.0933,1.4771,1.4012,1.0162,0.4052,0.1577,0.0721,0.0388,0.0159,0.0104,0.0123,2548.1,1462.1,800.8,452.6,162.8,61,28,15.2,6.8,4.3,5.5,0,0,0,0,0,0,262,120,25,7,0,179,130,56,20,76,76,R
OWU,E,10,game,0.8408,E,26.7377,E,5,167.7553,2,0,0,67.9843,E,11.836,16.0075,1.1399,6.616,0,4.3778,4.5067,0.0972,0.4464,0.2821,0.0152,0,5024.6,396.7,121.2,4.7,0,36,2,0,0,0,0,3,2,0,0,0.3328,0.0812,0.0141,0.0035,0.0007,475.3,59.9,10.2,2,0.5,0.3186,0.0755,0.0128,0.0012,0.0002,4922.4,63.2,12,1.5,0.2,0.149,0.2284,0.2101,0.1509,0.0638,0.023,0.0088,0.0049,0.0011,0.0005,0.0004,5093.8,215.5,123.4,69.4,27.4,10.4,3.9,2.3,0.5,0.4,0.2,0,0,0,0,0,0,49,26,6,2,0,49,23,5,3,8,8,E
OWU,X,90,game,2.1257,X,13.9993,X,2,409.5611,1,0,0,158.2703,X,13.7548,40.4683,2.607,5.7183,0,6,4.8623,0.9976,1.0152,0.1051,0.008,0,4323.2,1174,47.7,2.2,0,19,1,0,0,0,0,2,0,0,0,1.0451,0.0818,0.0169,0.0075,0.0041,2715.2,92.7,13.4,4.1,2.2,0.8735,0.0747,0.0172,0.004,0.001,2583.1,113.2,18.4,3.8,1,1.4818,0.3531,0.188,0.0532,0.0157,0.0142,0.007,0.0041,0.0036,0.0022,0.0028,5005.9,368.4,119.1,28.8,8.4,6.5,3.4,1.9,1.7,1.3,1.7,0,0,0,0,0,0,57,27,12,4,0,53,25,10,6,16,16,X
OWU,K ,90,game,5.3529,K ,350.7809,K ,45,978.6159,0,0,0,371.6484,K ,17.3439,101.904,7.2369,37.4858,0,6,5.5152,4.6737,0.3007,0.1792,0.084,0.1154,5328.4,110.4,57.2,23.4,27.5,77,0,0,0,0,0,27,15,2,1,2.3047,0.3769,0.102,0.0315,0.0104,2539.2,258.1,53.8,14.2,4.6,1.9867,0.4426,0.0798,0.0153,0.003,2290.1,316.6,55.9,11.7,2.7,1.1776,1.4304,1.3034,0.6718,0.3087,0.183,0.1139,0.0642,0.0458,0.0221,0.032,2792.5,1397.3,745.8,311.7,129.5,69.1,40.6,22.6,16.4,8.1,13.3,0,0,0,0,0,0,251,108,34,14,0,241,94,26,24,50,50,K 
OWU,L ,90,game,5.6742,L ,233.4956,L ,31,970.6513,6,0,0,411.7035,L ,15.0423,108.0225,7.6267,43.7516,0,6,4.7354,5.0631,0.3198,0.1587,0.1042,0.0284,5341.9,118.2,50.6,29.1,7.2,142,9,0,0,0,0,16,11,3,1,2.4343,0.4401,0.0887,0.0279,0.008,2454.6,322.5,56.4,15.3,4.1,2.1409,0.4311,0.086,0.0158,0.0014,2252.9,350.8,73.7,15.2,1.5,1.0956,1.6108,1.5203,0.7736,0.3446,0.1629,0.0712,0.0446,0.0238,0.0108,0.016,2486.6,1545.5,873.5,363.7,142.1,66.1,28.6,19.1,10.2,4.2,7.4,0,0,0,0,0,0,281,158,49,8,0,281,132,46,18,64,64,L 
OWU,O,,1st.half,0.0754,O,0,O,0,8.877,0,0,0,37.2492,O,2.7838,2.897,0.1669,0,0,0,0,0.0712,0.0042,0,0,0,2740.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398,0.0012,0,0,0,1055.7,2.8,0,0,0,0.0339,0.0004,0,0,0,1686.5,1.9,0,0,0,0.0751,0.0003,0,0,0,0,0,0,0,0,0,2746.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
OWU,A,,1st.half,0.0743,A,0,A,0,10.8782,0,0,0,44.4861,A,2.8931,2.8553,0.1625,0.0073,0,0,0,0.0731,0.0012,0,0,0,2745.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413,0.0009,0,0,0,1249.3,1.9,0,0,0,0.0318,0.0003,0.0001,0,0,1493.5,1.8,0.4,0,0,0.0738,0.0005,0,0,0,0,0,0,0,0,0,2746.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
